1,1687
2,634
3,565
4,490
5,612
6,1180
7,251
8,462
9,754
10,810
11,797
12,692
13,142
14,457
15,1159
16,524
17,865
18,1168
19,1029
20,1051
21,288
22,1159
23,617
24,73
25,822
26,671
27,49
28,1084
29,495
30,460
31,788
32,441
33,361
34,1085
35,481
36,186
37,4726
38,953
39,233
40,1885
41,93
42,699
43,480
44,1749
45,342
46,1092
47,197
48,220
49,717
50,695
51,666
52,828
53,521
54,324
55,440
56,1685
57,558
58,825
59,755
60,574
61,778
62,1763
63,743
64,619
65,957
66,47
67,289
68,50
69,637
70,761
71,499
72,262
73,909
74,355
75,192
76,105
77,285
78,595
79,480
80,590
81,102
82,841
83,9
84,396
85,1170
86,213
87,474
88,235
89,393
90,307
91,422
92,452
93,83
94,106
95,128
96,960
97,65
98,100
Me,116
